name,table,rotor_rpm,x,y,z,nx,ny,nz,rotor_radius,hub_radius,rotor_thick
Turbine-01,DOE_RM-1,11.5,170,90,25,1,0,0,10,0,2
Turbine-02,DOE_RM-1,11.5,174.9,105.8,25,1,0,0,10,0,2
Turbine-03,DOE_RM-1,11.5,174.83,213.76,25,1,0,0,10,0,2
Turbine-04,DOE_RM-1,11.5,170,230,25,1,0,0,10,0,2
Turbine-05,DOE_RM-1,11.5,216.33,90,25,1,0,0,10,0,2
Turbine-06,DOE_RM-1,11.5,279.74,125.84,25,1,0,0,10,0,2
Turbine-07,DOE_RM-1,11.5,278.55,208.91,25,1,0,0,10,0,2
Turbine-08,DOE_RM-1,11.5,219.07,230,25,1,0,0,10,0,2
Turbine-09,DOE_RM-1,11.5,266.47,90,25,1,0,0,10,0,2
Turbine-10,DOE_RM-1,11.5,279.19,191.26,25,1,0,0,10,0,2
Turbine-11,DOE_RM-1,11.5,281.79,142.09,25,1,0,0,10,0,2
Turbine-12,DOE_RM-1,11.5,269.2,230,25,1,0,0,10,0,2
Turbine-13,DOE_RM-1,11.5,284.26,90,25,1,0,0,10,0,2
Turbine-14,DOE_RM-1,11.5,281.22,174.16,25,1,0,0,10,0,2
Turbine-15,DOE_RM-1,11.5,282.97,158.13,25,1,0,0,10,0,2
Turbine-16,DOE_RM-1,11.5,290.86,230,25,1,0,0,10,0,2
Turbine-17,DOE_RM-1,11.5,279.2,108.66,25,1,0,0,10,0,2
Turbine-18,DOE_RM-1,11.5,376.31,128.28,25,1,0,0,10,0,2
Turbine-19,DOE_RM-1,11.5,368.39,174.16,25,1,0,0,10,0,2
Turbine-20,DOE_RM-1,11.5,369.18,193.69,25,1,0,0,10,0,2
Turbine-21,DOE_RM-1,11.5,376.44,90,25,1,0,0,10,0,2
Turbine-22,DOE_RM-1,11.5,378.02,108.47,25,1,0,0,10,0,2
Turbine-23,DOE_RM-1,11.5,368.87,211.95,25,1,0,0,10,0,2
Turbine-24,DOE_RM-1,11.5,366.87,230,25,1,0,0,10,0,2
Turbine-25,DOE_RM-1,11.5,453.59,90,25,1,0,0,10,0,2
Turbine-26,DOE_RM-1,11.5,449.01,133.79,25,1,0,0,10,0,2
Turbine-27,DOE_RM-1,11.5,451.08,188.36,25,1,0,0,10,0,2
Turbine-28,DOE_RM-1,11.5,451.28,230,25,1,0,0,10,0,2
Turbine-29,DOE_RM-1,11.5,451.6,113.6,25,1,0,0,10,0,2
Turbine-30,DOE_RM-1,11.5,448.95,168.68,25,1,0,0,10,0,2
Turbine-31,DOE_RM-1,11.5,448.47,151.24,25,1,0,0,10,0,2
Turbine-32,DOE_RM-1,11.5,451.75,208.92,25,1,0,0,10,0,2
