name,table,rotor_rpm,x,y,z,nx,ny,nz,rotor_radius,hub_radius,rotor_thick
Turbine-01,DOE_RM-1_Scaled0p5,11.5,85,45,15,1,0,0,5,0,1
Turbine-02,DOE_RM-1_Scaled0p5,11.5,85,68.335,15,1,0,0,5,0,1
Turbine-03,DOE_RM-1_Scaled0p5,11.5,85,91.665,15,1,0,0,5,0,1
Turbine-04,DOE_RM-1_Scaled0p5,11.5,85,115,15,1,0,0,5,0,1
Turbine-05,DOE_RM-1_Scaled0p5,11.5,103.75,56.665,15,1,0,0,5,0,1
Turbine-06,DOE_RM-1_Scaled0p5,11.5,103.75,80,15,1,0,0,5,0,1
Turbine-07,DOE_RM-1_Scaled0p5,11.5,103.75,103.335,15,1,0,0,5,0,1
Turbine-08,DOE_RM-1_Scaled0p5,11.5,122.5,45,15,1,0,0,5,0,1
Turbine-09,DOE_RM-1_Scaled0p5,11.5,122.5,68.335,15,1,0,0,5,0,1
Turbine-10,DOE_RM-1_Scaled0p5,11.5,122.5,91.665,15,1,0,0,5,0,1
Turbine-11,DOE_RM-1_Scaled0p5,11.5,122.5,115,15,1,0,0,5,0,1
Turbine-12,DOE_RM-1_Scaled0p5,11.5,141.25,56.665,15,1,0,0,5,0,1
Turbine-13,DOE_RM-1_Scaled0p5,11.5,141.25,80,15,1,0,0,5,0,1
Turbine-14,DOE_RM-1_Scaled0p5,11.5,141.25,103.335,15,1,0,0,5,0,1
Turbine-15,DOE_RM-1_Scaled0p5,11.5,160,45,15,1,0,0,5,0,1
Turbine-16,DOE_RM-1_Scaled0p5,11.5,160,68.335,15,1,0,0,5,0,1
Turbine-17,DOE_RM-1_Scaled0p5,11.5,160,91.665,15,1,0,0,5,0,1
Turbine-18,DOE_RM-1_Scaled0p5,11.5,160,115,15,1,0,0,5,0,1
Turbine-19,DOE_RM-1_Scaled0p5,11.5,178.75,56.665,15,1,0,0,5,0,1
Turbine-20,DOE_RM-1_Scaled0p5,11.5,178.75,80,15,1,0,0,5,0,1
Turbine-21,DOE_RM-1_Scaled0p5,11.5,178.75,103.335,15,1,0,0,5,0,1
Turbine-22,DOE_RM-1_Scaled0p5,11.5,197.5,45,15,1,0,0,5,0,1
Turbine-23,DOE_RM-1_Scaled0p5,11.5,197.5,68.335,15,1,0,0,5,0,1
Turbine-24,DOE_RM-1_Scaled0p5,11.5,197.5,91.665,15,1,0,0,5,0,1
Turbine-25,DOE_RM-1_Scaled0p5,11.5,197.5,115,15,1,0,0,5,0,1
Turbine-26,DOE_RM-1_Scaled0p5,11.5,216.25,56.665,15,1,0,0,5,0,1
Turbine-27,DOE_RM-1_Scaled0p5,11.5,216.25,80,15,1,0,0,5,0,1
Turbine-28,DOE_RM-1_Scaled0p5,11.5,216.25,103.335,15,1,0,0,5,0,1
Turbine-29,DOE_RM-1_Scaled0p5,11.5,235,45,15,1,0,0,5,0,1
Turbine-30,DOE_RM-1_Scaled0p5,11.5,235,68.335,15,1,0,0,5,0,1
Turbine-31,DOE_RM-1_Scaled0p5,11.5,235,91.665,15,1,0,0,5,0,1
Turbine-32,DOE_RM-1_Scaled0p5,11.5,235,115,15,1,0,0,5,0,1
