"Iteration","Ux_up1: Ux_up1 (m/s)","Ux_up2: Ux_up2 (m/s)","Ux_up3: Ux_up3 (m/s)","Ux_up4: Ux_up4 (m/s)","Ux_up5: Ux_up5 (m/s)","Ux_down1: Ux_down1 (m/s)","Ux_down2: Ux_down2 (m/s)","Ux_down3: Ux_down3 (m/s)","Ux_down4: Ux_down4 (m/s)","Ux_down5: Ux_down5 (m/s)"
2.0,1.999993482112048,1.9999674225773703,,,,1.999985684916017,1.9999956495774125,2.0000528893550675,1.9999976614093844,1.9999341915867759
3.0,1.9999994583927008,1.9999666587294158,,,,1.999988408467292,1.999998675109539,1.9999972809946323,2.0000018050781874,1.9999676531203228
4.0,2.0000090223040323,1.999980753436679,,,,1.999995513503375,2.0000117951331253,1.9999982758823107,2.0000006158335872,2.000001908762226
5.0,2.000031950313171,2.0000113674098134,,,,1.999995813528681,2.0000141914976237,2.000007464157651,2.0000017229142406,2.0000179149235273
6.0,2.0000468112575476,2.0000320710901414,,,,2.0000005586513723,2.000021095003568,2.000026815288892,2.000019089091686,2.000032640208274
7.0,2.000058465103516,2.0000508384567866,,,,2.0000049622147684,2.000028941931226,2.0000378531813046,2.0000326886173996,2.0000439499851046
8.0,2.000058217540053,2.000052449752981,,,,2.0000087486497686,2.000036946548255,2.000048203451035,2.000045375320643,2.0000535586942423
9.0,2.0000581693204693,2.000054927834698,,,,2.00001330598743,2.0000458788782622,2.000061461002209,2.0000599682081894,2.000065453792387
10.0,2.000052356365096,2.000044378100321,,,,2.0000198045431907,2.0000579591602055,2.000081858672448,2.0000844467896264,2.0000876500984575
11.0,2.0000471262680524,2.0000373545163384,,,,2.0000268320923156,2.0000689700967555,2.00010075921732,2.0001058698647096,2.000106942898295
12.0,2.0000414470726824,2.0000285286239423,,,,2.0000334883454296,2.0000807988427476,2.0001200000268327,2.0001270740364037,2.000125479985144
13.0,2.0000360930696908,2.000020748112171,,,,2.0000410000649778,2.0000932130264144,2.0001344782682247,2.0001418076259996,2.0001389563204155
14.0,2.0000315120028587,2.0000144642542765,,,,2.0000487033064864,2.0001058438345662,2.000141934899173,2.0001470063756104,2.000144124252015
15.0,2.000029849776455,2.0000121763662237,,,,2.0000548854556985,2.0001153825640072,2.0001393391292455,2.0001408029331884,2.000139226397487
16.0,2.000029536200657,2.000009700621704,,,,2.0000597798524913,2.000120061717854,2.0001257182212258,2.0001226451350975,2.000123518713479
17.0,2.000030644049432,2.000009720831815,,,,2.000064901828866,2.0001227465710913,2.000108011358747,2.0001025616175228,2.000105780939072
18.0,2.0000325926965674,2.0000103009515833,,,,2.000070049941411,2.0001216680764093,2.0000870292952255,2.0000806016722628,2.000086159731129
19.0,2.000035402558371,2.00001138879278,,,,2.0000743036310547,2.0001160830497065,2.0000627593929785,2.000057347574356,2.000064847690337
20.0,2.000037572942185,2.0000117321681414,,,,2.000078052726252,2.0001084233882085,2.000041756834457,2.0000389946440125,2.0000470499167724
21.0,2.000039532305612,2.000012132961465,,,,2.000080955425217,2.0000974185441938,2.000022784385681,2.0000228982759176,2.0000308699542115
22.0,2.00004097448845,2.0000123526413534,,,,2.0000828263166586,2.000085397124497,2.000008472082243,2.0000113471818497,2.00001852203032
23.0,2.0000421858794097,2.0000126781689715,,,,2.000083425272918,2.0000718890311235,1.9999979171973339,2.000002971873297,2.0000091645580547
24.0,2.0000430133049836,2.0000128339386563,,,,2.000082651106445,2.00005809668929,1.9999908583648929,1.9999974232242321,2.0000025365790237
25.0,2.0000435516462485,2.0000129790584884,,,,2.0000804374344563,2.000044519719789,1.9999864171587924,1.9999937927198803,1.9999979456670653
26.0,2.0000439283972193,2.000013199226811,,,,2.0000768950534993,2.000031580852945,1.999983819263176,1.9999914457446357,1.9999947851971829
27.0,2.000044384349473,2.0000137371640014,,,,2.0000719676456216,2.0000192698692123,1.9999818685288229,1.9999893171546437,1.9999921105484493
28.0,2.00004453429274,2.0000139011704317,,,,2.00006625533509,2.0000091771809405,1.9999814989480935,1.9999886310240624,1.999990820708606
29.0,2.0000446014911972,2.0000142385002357,,,,2.00005988716974,2.0000007055385165,1.9999813213076139,1.9999877695183166,1.999989613517684
30.0,2.000044494721245,2.00001438232873,,,,2.000053333266401,1.9999944675581083,1.9999821523529833,1.9999878450671924,1.9999892729979614
31.0,2.000044340155103,2.000014632106631,,,,2.000046502422519,1.9999897610288544,1.9999829045469084,1.9999876281554132,1.9999888478709946
32.0,2.0000440725407387,2.0000146830109347,,,,2.000039789984381,1.9999870069746284,1.9999843946065254,1.9999881305900327,1.9999890814689616
33.0,2.0000437900129966,2.0000147917402624,,,,2.0000332346159624,1.9999852726784204,1.9999857117951982,1.9999884070333933,1.9999892016333067
34.0,2.0000434095672794,2.0000147339011414,,,,2.00002724642289,1.999984908927803,1.9999873835273165,1.9999891496084017,1.9999897436229541
35.0,2.000043015299096,2.000014710422721,,,,2.0000217971150582,1.9999854781246031,1.9999888877624863,1.999989825586518,1.9999902766372826
36.0,2.0000425451244186,2.0000145819309703,,,,2.0000172184515583,1.9999869326421051,1.9999905387335004,1.9999907340289769,1.9999909939202247
37.0,2.0000420768339255,2.0000145155479228,,,,2.0000134114761634,1.9999888783114645,1.9999921171064137,1.9999916066794476,1.9999917263760467
38.0,2.0000415544071526,2.0000143519913793,,,,2.000010504906399,1.9999912884819815,1.9999936910228884,1.9999925949150585,1.999992568742923
39.0,2.000041012204055,2.0000141921895422,,,,2.0000083944552163,1.9999940322030603,1.9999951725800074,1.9999935921713257,1.9999934412490432
40.0,2.000040473832745,2.000014098865063,,,,2.0000070884274157,1.9999970268936273,1.9999967115076747,1.9999946897363294,1.999994422965654
41.0,2.000039906070338,2.0000139333996536,,,,2.00000646269877,1.9999999606861767,1.9999980662965966,1.9999957093621825,1.9999953411048164
42.0,2.0000393246739256,2.000013761315613,,,,2.0000064361443988,2.000002786819387,1.999999323557686,1.9999967153971374,1.999996244608885
43.0,2.000038735544524,2.0000136079359816,,,,2.0000070246578847,2.00000560237602,2.000000686137825,1.9999978104730451,1.999997246740381
44.0,2.00003813481573,2.000013424525727,,,,2.00000805474328,2.000008131541719,2.0000018196521916,1.9999987382614535,1.9999981060342191
45.0,2.000037538639519,2.0000132525709406,,,,2.000009439681397,2.000010517761279,2.000002976724072,1.9999997430112773,1.9999990400832042
46.0,2.0000369273517036,2.000013054019596,,,,2.0000110506687356,2.0000125626535037,2.0000039134582646,2.000000566928235,1.999999809131085
47.0,2.000036313286116,2.000012855271624,,,,2.000012849958003,2.000014487893436,2.0000049287827526,2.000001480484428,2.000000663710983
48.0,2.000035691786474,2.000012642525637,,,,2.000014732580481,2.0000160928734707,2.000005713686407,2.000002192504687,2.000001331295958
49.0,2.000035069295874,2.0000124252868794,,,,2.0000166599825526,2.0000176105722964,2.0000065852259734,2.0000029991656714,2.0000020878802625
50.0,2.0000344460635233,2.000012210409768,,,,2.000018533765433,2.0000188316153276,2.0000072179893986,2.0000035840604493,2.0000026481157103
51.0,2.0000338221178255,2.000011984973265,,,,2.0000203639767786,2.0000199823375358,2.0000079487022795,2.0000042830324603,2.000003309643974
52.0,2.000033199811325,2.00001176682282,,,,2.000022062612415,2.000020877823883,2.0000084576864685,2.000004763444802,2.0000037791503065
53.0,2.000032582013948,2.000011542037991,,,,2.000023653874618,2.0000217223244263,2.0000090528110928,2.000005337376729,2.0000043299846637
54.0,2.0000319687800303,2.000011323994253,,,,2.0000250790998773,2.0000223703027307,2.0000094569418403,2.0000057275721876,2.0000047193300694
55.0,2.000031354001046,2.0000110846377748,,,,2.0000263837816252,2.0000230074693217,2.0000099714982618,2.000006246906702,2.0000052153271
56.0,2.0000307491685994,2.0000108699345636,,,,2.0000275114278594,2.000023461543399,2.0000102976641494,2.000006569289165,2.0000055460589605
57.0,2.000030144580578,2.0000106307262135,,,,2.000028516508457,2.000023909484872,2.0000107186361693,2.0000070059573467,2.000005970825138
58.0,2.0000295471002447,2.0000104081633143,,,,2.000029369531857,2.000024215644392,2.0000109761483063,2.000007272972014,2.000006250881091
59.0,2.000028949727846,2.000010165867071,,,,2.0000301103787232,2.000024513241765,2.0000113039106826,2.0000076380777587,2.000006605503834
60.0,2.000028358115795,2.0000099421461233,,,,2.0000307241096076,2.0000246906725083,2.000011492288993,2.0000078482115677,2.0000068285142567
61.0,2.0000277658059695,2.000009692241129,,,,2.0000312517776586,2.000024863356546,2.0000117347970887,2.0000081397451823,2.0000071127684427
62.0,2.0000271810208936,2.000009468878465,,,,2.0000316730240124,2.0000249385177753,2.0000118628242416,2.0000082951758698,2.0000072818304515
63.0,2.000026596832658,2.0000092224658386,,,,2.000032026736656,2.0000250073409704,2.00001203243971,2.0000085184271708,2.000007502993072
64.0,2.000026018195804,2.0000090013639777,,,,2.000032292702296,2.000024999700367,2.0000121098656973,2.000008626944326,2.0000076271239804
65.0,2.0000254335170022,2.0000087507812285,,,,2.000032506497529,2.000024985532847,2.0000122160747114,2.0000087912661906,2.0000077937927223
66.0,2.000024854397175,2.0000085298626376,,,,2.0000326530455603,2.000024908079729,2.0000122447163817,2.000008857276214,2.0000078766495406
67.0,2.0000242716327543,2.0000082795647516,,,,2.000032758754603,2.0000248193931527,2.0000122891425924,2.00000896280802,2.000007988794028
68.0,2.000023699644723,2.0000080651719077,,,,2.000032809201909,2.0000246835453996,2.0000122752766836,2.0000089916379213,2.000008034486182
69.0,2.000023124524534,2.0000078178477896,,,,2.0000328303519326,2.000024538522475,2.0000122734729686,2.000009051683292,2.000008104181335
70.0,2.0000225609670736,2.00000760770513,,,,2.0000328087903525,2.0000243585234174,2.0000122283647657,2.0000090550312546,2.0000081230446187
71.0,2.0000219983251024,2.000007368274411,,,,2.000032760684284,2.0000241709696116,2.000012194248391,2.000009084504874,2.0000081647964154
72.0,2.0000214459997796,2.000007162931886,,,,2.0000326815459806,2.0000239571974534,2.0000121279743217,2.000009068935608,2.0000081663069973
73.0,2.000020894190497,2.0000069297406955,,,,2.000032582747962,2.0000237366270612,2.0000120690157424,2.000009072070124,2.000008183400484
74.0,2.000020351764241,2.000006728333128,,,,2.0000324595913677,2.0000234935043655,2.000011981761786,2.0000090371280095,2.0000081652796116
75.0,2.0000198134518867,2.000006502618257,,,,2.0000323172267738,2.0000232426032403,2.000011896791976,2.000009014533588,2.0000081561253875
76.0,2.000019285816332,2.0000063088456566,,,,2.0000321543593955,2.000022973763269,2.00001179491898,2.000008965833097,2.000008122122829
77.0,2.000018761060704,2.000006088000645,,,,2.000031980987071,2.000022701880572,2.0000116968138486,2.0000089276181066,2.000008097776294
78.0,2.000018250532139,2.0000059007529973,,,,2.000031791641608,2.0000224149729044,2.0000115841038606,2.0000088681244645,2.00000805272079
79.0,2.0000177398170487,2.0000056842275047,,,,2.000031592189157,2.000022126658518,2.0000114762925367,2.000008818529273,2.000008016611214
80.0,2.0000172432976226,2.000005501602356,,,,2.0000313785795054,2.0000218267915923,2.0000113549562375,2.000008750466716,2.0000079640664206
81.0,2.0000167511355835,2.000005292207889,,,,2.000031156927414,2.000021524212725,2.0000112361100846,2.0000086875388994,2.000007913952609
82.0,2.000016272134478,2.0000051142046376,,,,2.0000309262850577,2.0000212124683143,2.000011106457236,2.000008611823492,2.0000078529336016
83.0,2.000015794328169,2.0000049084046823,,,,2.0000306868901605,2.0000208988575587,2.0000109783037523,2.0000085376179784,2.0000077913010257
84.0,2.0000153297110206,2.0000047363837083,,,,2.0000304360915333,2.000020580561104,2.000010843259074,2.0000084546317627,2.0000077228968407
85.0,2.000014870378044,2.0000045367387322,,,,2.0000301773157645,2.000020261470956,2.0000107100779285,2.0000083739176864,2.0000076549449224
86.0,2.000014423888514,2.000004367582168,,,,2.0000299105861545,2.0000199388663824,2.00001057105757,2.0000082859560773,2.0000075812114826
87.0,2.0000139771769048,2.000004170015613,,,,2.0000296383204303,2.0000196157834855,2.00001043254724,2.0000081983373943,2.0000075068084073
88.0,2.0000135454211905,2.0000040059864737,,,,2.000029359315154,2.0000192927265172,2.0000102919553324,2.0000081076107543,2.000007429161111
