"Iteration","Uy_up1: Uy_up1 (m/s)","Uy_up2: Uy_up2 (m/s)","Uy_up3: Uy_up3 (m/s)","Uy_up4: Uy_up4 (m/s)","Uy_up5: Uy_up5 (m/s)","Uy_down1: Uy_down1 (m/s)","Uy_down2: Uy_down2 (m/s)","Uy_down3: Uy_down3 (m/s)","Uy_down4: Uy_down4 (m/s)","Uy_down5: Uy_down5 (m/s)"
2.0,1.0707982126086642E-14,2.035877223748075E-15,,,,7.976990922242686E-15,-8.070255641608387E-15,2.0165484291230224E-15,-8.744888290481977E-16,7.763171264607449E-16
3.0,1.070804370021832E-14,2.0354736445157475E-15,,,,7.975849076371105E-15,-8.070423063199162E-15,2.017081737090842E-15,-8.74185741620701E-16,7.764666796669344E-16
4.0,1.0707983086060745E-14,2.035378538961034E-15,,,,7.97565281533412E-15,-8.070336196341564E-15,2.016946823752184E-15,-8.742246203057584E-16,7.765454610842445E-16
5.0,1.0708074804068776E-14,2.0353026060082716E-15,,,,7.975613650277501E-15,-8.07027030483693E-15,2.0169136226221658E-15,-8.742794118923867E-16,7.765706301027087E-16
6.0,1.0708204175364929E-14,2.0352704718548064E-15,,,,7.975631655309801E-15,-8.070286030204693E-15,2.0168971315279678E-15,-8.743169225805532E-16,7.765664357911712E-16
7.0,1.0708253360881184E-14,2.0352214704558864E-15,,,,7.975668219136047E-15,-8.070297061453165E-15,2.0168619607414518E-15,-8.743288124816678E-16,7.765579702680674E-16
8.0,1.0708229419806362E-14,2.0351588558760623E-15,,,,7.975705567233251E-15,-8.070327499333993E-15,2.016867964870078E-15,-8.743369912678393E-16,7.765540479763876E-16
9.0,1.0708131761144938E-14,2.035078282445915E-15,,,,7.975729374048922E-15,-8.070351539477481E-15,2.0168419492005257E-15,-8.743411123345937E-16,7.7655466679118E-16
10.0,1.0708015095561518E-14,2.0349888290089877E-15,,,,7.975783022794975E-15,-8.070391647431099E-15,2.0168369141146472E-15,-8.74346601196184E-16,7.765621670981481E-16
11.0,1.070785938325803E-14,2.034891292304304E-15,,,,7.975833819404136E-15,-8.070414626903895E-15,2.0168214194374286E-15,-8.743535836039078E-16,7.765732375754105E-16
12.0,1.0707721256627171E-14,2.0348067937251813E-15,,,,7.975876931238723E-15,-8.070440757223347E-15,2.016812066513222E-15,-8.743616043626362E-16,7.765818997674373E-16
13.0,1.0707589160117627E-14,2.0347419768293563E-15,,,,7.975905146851295E-15,-8.070473418959228E-15,2.0167884998719687E-15,-8.743680987375912E-16,7.765898925583252E-16
14.0,1.0707467712833685E-14,2.034692885186622E-15,,,,7.97593271891499E-15,-8.070516187112863E-15,2.016760111263096E-15,-8.743716529108553E-16,7.765958036196368E-16
15.0,1.0707361296160298E-14,2.034656809882722E-15,,,,7.975939815326342E-15,-8.070542370239164E-15,2.0167003503482483E-15,-8.743702988550792E-16,7.765994772900355E-16
16.0,1.0707262113632223E-14,2.034628720008152E-15,,,,7.975939318159868E-15,-8.070549688022907E-15,2.016630045948688E-15,-8.743637072636587E-16,7.766004191929725E-16
17.0,1.0707193210692192E-14,2.0346082481010608E-15,,,,7.975943170495325E-15,-8.070549468208823E-15,2.016555044121148E-15,-8.743542229532937E-16,7.765985318445644E-16
18.0,1.0707140038698236E-14,2.034593709250464E-15,,,,7.975946453760055E-15,-8.070530364175885E-15,2.0164783853325122E-15,-8.74343515349089E-16,7.765953033719498E-16
19.0,1.0707098944348406E-14,2.0345817314765955E-15,,,,7.975946468088128E-15,-8.07049100992618E-15,2.0164017238796545E-15,-8.743310443110767E-16,7.765905751935394E-16
20.0,1.0707067610684762E-14,2.0345726696245024E-15,,,,7.9759464468395E-15,-8.070443201577652E-15,2.0163307099383293E-15,-8.74320285212654E-16,7.765856741151961E-16
