"Iteration","Uz_up1: Uz_up1 (m/s)","Uz_up2: Uz_up2 (m/s)","Uz_up3: Uz_up3 (m/s)","Uz_up4: Uz_up4 (m/s)","Uz_up5: Uz_up5 (m/s)","Uz_down1: Uz_down1 (m/s)","Uz_down2: Uz_down2 (m/s)","Uz_down3: Uz_down3 (m/s)","Uz_down4: Uz_down4 (m/s)","Uz_down5: Uz_down5 (m/s)"
2.0,4.2349795247920765E-4,5.49990767857382E-4,,,,5.340827075494691E-4,5.807821432410295E-4,3.890511968907195E-4,2.880972520311896E-4,1.262953342510762E-4
3.0,4.118948333462414E-4,6.581053627208798E-4,,,,3.707237852182865E-4,5.77961748893238E-4,4.908755953775977E-4,3.15848656876329E-4,1.1019541413470567E-4
4.0,3.843959493799338E-4,5.493012079761456E-4,,,,3.414824909426288E-4,5.147592686632785E-4,4.4551761811902134E-4,2.724095398914403E-4,9.029348072040997E-5
5.0,3.741771936278533E-4,4.7680717103652055E-4,,,,3.377769884061448E-4,4.788849829475083E-4,4.389787351900756E-4,2.343930520124914E-4,7.18206058622261E-5
6.0,3.706525191136289E-4,4.3611138220755097E-4,,,,3.3786163226494283E-4,4.6670680426452716E-4,4.3580294121624286E-4,2.1702437247345297E-4,6.583387415421065E-5
7.0,3.6684794485261266E-4,3.876902484990824E-4,,,,3.374789346040929E-4,4.5282426136136983E-4,4.2630352632120396E-4,2.138088658579299E-4,6.42298323153375E-5
8.0,3.6428614788442396E-4,3.469433086807217E-4,,,,3.3927170319783247E-4,4.5022706443121404E-4,4.2599849536167266E-4,2.15387426954816E-4,6.505585797419365E-5
9.0,3.545697887119481E-4,3.015980921736964E-4,,,,3.3942964950086914E-4,4.441437920556119E-4,4.1441362548641497E-4,2.1551893185279322E-4,6.787767535752719E-5
10.0,3.464230629536929E-4,2.628614631671967E-4,,,,3.4230567171989227E-4,4.402552761327951E-4,4.054841510304508E-4,2.1280783715795098E-4,6.795122423839326E-5
11.0,3.329652562777926E-4,2.213343235309278E-4,,,,3.451212154967809E-4,4.3274558961625925E-4,3.921103709228366E-4,2.046790957977971E-4,6.692574320389037E-5
12.0,3.2103910450991864E-4,1.8981234610068783E-4,,,,3.4638891364950544E-4,4.248592104702651E-4,3.797591766682213E-4,1.9585741922759135E-4,6.502395358077714E-5
13.0,3.1000454488088716E-4,1.658170930072707E-4,,,,3.459382042574049E-4,4.1724436531393936E-4,3.644134077472122E-4,1.8326377118768914E-4,6.090683184461213E-5
14.0,2.9941511482973213E-4,1.4846822082678488E-4,,,,3.4586569037713E-4,4.1249419513359885E-4,3.492802868430922E-4,1.6940527187605077E-4,5.5978227696807317E-5
15.0,2.8816994491026495E-4,1.3447917204568354E-4,,,,3.440498607145114E-4,4.055401969887114E-4,3.2723912623291806E-4,1.5203513456957441E-4,5.007749031072646E-5
