"Iteration","Torque (Turbine-01) Monitor: Torque (Turbine-01) Monitor (N-m)"
3665.0,451344.0030169619
3666.0,451346.2881827664
3667.0,451338.5240544308
3668.0,451319.6645718169
3669.0,451325.7340421311
3670.0,451342.770900098
3671.0,451360.89021589165
3672.0,451367.6845600957
3673.0,451379.2800772382
3674.0,451385.8090311899
3675.0,451390.90009685647
3676.0,451395.4900960731
3677.0,451399.76034584
3678.0,451403.21520202287
3679.0,451402.8994974591
3680.0,451402.2952538701
3681.0,451401.09856535954
3682.0,451399.5399212561
3683.0,451396.3564990932
3684.0,451394.24913444516
3685.0,451394.6705989502
3686.0,451394.5043013588
3687.0,451394.8565117506
3688.0,451395.40850321477
3689.0,451396.31490432087
3690.0,451396.9108784247
3691.0,451397.5563884164
3692.0,451397.7746219892
3693.0,451397.5491887611
3694.0,451397.3073429625
3695.0,451396.6378858892
3696.0,451396.1701718709
3697.0,451395.80272309965
3698.0,451395.5314084512
3699.0,451395.35952151165
3700.0,451395.2741556513
3701.0,451395.2415680086
3702.0,451395.2270746081
3703.0,451395.21478676505
3704.0,451395.192384526
3705.0,451395.1474991645
3706.0,451395.0778849247
3707.0,451394.9959228774
3708.0,451394.9062641162
3709.0,451394.81763466616
3710.0,451394.7384838539
3711.0,451394.6705467876
3712.0,451394.6165278677
3713.0,451394.5743616374
3714.0,451394.5439553948
3715.0,451394.5196226687
3716.0,451394.50413894816
3717.0,451394.48884969554
3718.0,451394.4729782896
3719.0,451394.45518885745
3720.0,451394.43729686143
3721.0,451394.41931552265
3722.0,451394.4033216152
3723.0,451394.3886519081
3724.0,451394.375691872
3725.0,451394.3649321647
3726.0,451394.354698443
3727.0,451394.3457500584
3728.0,451394.336935727
3729.0,451394.3285900045
3730.0,451394.31956178043
3731.0,451394.3125951234
3732.0,451394.3089921631
3733.0,451394.3078366902
3734.0,451394.30539440125
3735.0,451394.30390071013
3736.0,451394.3023097574
3737.0,451394.3001330837
3738.0,451394.2975107104
3739.0,451394.29624642065
3740.0,451394.29564545595
3741.0,451394.29840206704
3742.0,451394.30145370006
3743.0,451394.3061635727
3744.0,451394.3101808196
3745.0,451394.31293167773
3746.0,451394.3160990629
3747.0,451394.3201293254
3748.0,451394.3226606663
3749.0,451394.32248582615
3750.0,451394.32240657974
3751.0,451394.31918782945
3752.0,451394.31938213273
3753.0,451394.32000579615
3754.0,451394.3205021788
3755.0,451394.31672036834
